PM2.5,PM10,So2,No2,Co,O3,fcm
139,187,56,36,1.84,108,3
129,180,41,32,1.49,101,3
139,202,31,34,1.53,114,4
150,212,31,37,1.63,93,4
47,88,19,30,1.06,54,1
30,52,17,21,1.01,65,1
53,95,24,25,1.32,66,1
51,110,32,33,1.53,120,2
73.5,148,43.5,39,1.43,123,2
96,186,55,45,1.33,126,3
80,142,37,29,0.98,165,2
65,122,32,33,0.82,93,2
40,114,34,39,0.68,118,2
29,46,16,22,0.59,109,1
49,89,23,32,0.89,88,2
27,70,26,30,0.61,109,1
56,141,31,45,0.94,121,2
46,78,25,24,0.87,133,2
74,112,32,29,1.09,97,2
78,126,35,29,0.93,131,2
101,163,57,30,1.39,136,2
154,227,54,28,1.69,147,4
135.5,205,45,29.5,1.56,130.5,4
117,183,36,31,1.43,114,3
45,84,24,27,0.89,94,2
38,85,26,33,0.97,85,1
60,137,39,39,1.02,108,2
78,198,47,47,1.2,120,3
79,127,25,29,1.11,96,2
55,84,16,24,1.12,120,2
109,166,19,42,1.5,61,3
85,115,22,32,1.28,106,2
122,173,41,34,1.45,97,3
38,45,14,25,1.13,90,1
20,41,19,28,0.85,71,1
35,95,30,32,1,91,2
82,155,40,34,1.4,120,2
112,184,33,31,1.57,117,3
146,221,51,30,2.12,112,4
72,126,18,22,1.15,85,2
51,131,32,35,1.24,83,2
72,161,78,44,1.44,94,3
100,168,47,47,1.44,53,3
39,64,11,25,0.97,77,1
63,108,24,32,1.27,87,2
101,161,20,59,1.25,32,3
33,73,18,50,1.02,41,1
52,126,23,68,1,17,3
31,54,14,37,1.01,39,1
66,120,15,49,1.17,60,3
102,177,37,55,1.47,66,3
138,225,26,58,1.49,74,4
143,231,21,64,1.48,70,4
102,164,18,57,1.59,47,3
87,125,14,71,2.12,23,3
76,117,14,51,1.77,48,3
84,131,22,55,1.3,62,3
142,222,50,65,1.42,78,4
83,143,17,60,1.15,60,3
82,162,24,81,1.2,32,3
104,186,18,53,1.4,41,3
41,89,20,29,1.1,38,1
124,200,19,50,1.25,10,4
91,124,8,46,1.09,19,3
140,230,15,57,1.61,26,4
96,130,12,35,1,51,3
67,115,17,45,1.08,34,3
72,143,24,46,1.12,51,3
193,303,47,74,1.41,43,5
360,536,34,92,2.1,43,6
396,594,38,88,2.49,64,6
324,481,37,72,2.11,82,6
235,338,39,55,1.5,53,5
33,61,7,31,0.52,30,1
28,62,12,33,0.54,31,1
89,176,36,42,1.04,39,3
74,197,28,37,0.81,38,3
49,123,39,37,0.96,35,3
106,245,56,59,1.68,42,4
202,378,69,112,2.27,53,5
247,398,48,80,2.26,43,5
218,310,13,56,2.09,12,5
63,145,42,48,1.17,32,3
69,138,39,50,1.23,23,3
191,342,54,85,1.99,19,5
298,495,44,93,2.46,26,6
310,537,29,94,2.99,23,6
101,240,21,59,1.86,26,4
68,184,44,63,1.11,23,3
58,128,44,55,1.01,27,3
130,270,51,98,1.36,18,4
185,353,94,109,1.7,27,5
200,356,66,133,1.76,23,5
176,315,25,95,1.75,28,5
24,74,14,33,0.38,56,1
41,97,29,55,0.7,36,1
121,247,106,93,2.14,23,4
123,235,48,97,1.92,30,4
37,82,18,43,1.24,46,1
39,72,30,38,0.99,31,1
90,131,22,47,1.52,20,3
129,199,33,61,1.79,26,4
151,230,44,72,2,29,4
123,206,29,53,1.57,33,4
28,78,17,24,0.48,60,1
52,123,55,60,1.36,30,3
94,189,77,76,2.08,24,4
191,295,156,100,2.96,17,5
128,205,74,59,1.86,22,4
100,184,117,77,2.82,23,4
224,335,153,120,4.27,16,5
353,532,173,132,4.58,12,6
413,567,167,171,5.28,11,6
525,706,191,197,7.07,12,6
167,265,118,91,3.19,18,4
255,360,144,106,4.83,12,5
149,222,124,85,3.55,14,4
346,464,170,129,7.22,17,6
479,677,146,136,6.87,12,6
194,338,83,86,3.86,12,5
127,220,86,66,3.56,16,4
155,271,89,75,4.16,7,4
116,309,62,53,2.79,28,4
38,106,55,34,1.32,41,1
129,198,122,73,2.98,12,4
24,81,52,41,0.9,45,1
38,63,62,39,1.21,45,1
131,112,152,76,2.9,22,3
195,146,168,91,3.85,13,4
149,127,184,83,4.02,17,4
238,153,184,89,4.98,17,4
343,97,226,111,7.26,14,4
215,149,101,62,4.95,31,4
98,170,155,54,3.06,26,4
47,120,75,37,1.72,36,3
127,222,132,70,3.93,21,4
302,406,202,103,6.92,20,5
193,328,109,57,4.61,32,5
31,87,60,29,1.84,40,1
108,198,146,61,4.2,21,4
234,370,186,135,5.96,13,5
197,317,131,88,4.68,24,5
66,108,101,42,2.53,29,3
37,101,84,32,1.66,41,1
122,228,174,83,5.01,19,4
264,367,258,119,5.86,17,5
246,348,193,100,5.83,22,5
251,344,179,107,5.3,21,5
360,518,236,113,6.93,19,6
385,548,262,142,7.32,15,6
578,797,248,145,10.04,20,6
273,436,188,89,6.34,21,5
166,281,132,80,4.51,23,4
22,151,28,13,1.49,59,2
143,244,129,55,4.12,35,4
180,287,152,60,4.61,35,5
305,462,200,92,7.18,27,6
441,665,235,146,7.86,15,6
265,450,149,113,5.51,18,5
64,128,82,42,1.67,33,3
178,282,151,80,3.86,18,5
325,482,221,112,6.94,15,6
417,608,243,123,7.41,19,6
200,339,150,75,4.15,17,5
141,230,130,62,3.09,19,4
103,157,110,48,2.24,22,3
234,340,163,79,4.74,13,5
233,351,128,91,4.55,9,5
299,462,97,82,4.86,10,5
154,312,74,65,2.73,24,4
134,222,135,69,3.03,19,4
154,294,107,48,3.15,33,4
121,221,149,61,3.5,28,4
143,247,124,70,4.05,11,4
110,182,109,53,3.27,26,4
168,276,136,66,3.49,17,4
280,413,163,96,5.41,17,5
218,342,129,78,4.47,13,5
126,181,75,47,2.6,13,4
241,389,95,55,3.76,15,5
63,98,96,43,2.01,30,3
174,243,121,63,3.99,19,4
140,201,118,50,2.73,22,4
145,216,117,55,3.3,24,4
189,269,143,65,4.61,23,5
256,370,175,74,5.99,24,5
283,403,183,86,5.78,18,5
261,369,139,72,4.81,21,5
33,85,72,32,1.22,48,1
79,137,115,47,2.16,34,3
174,277,212,77,3.79,21,5
81,140,92,41,2.16,41,3
60,101,86,39,1.49,43,3
164,261,178,69,3.28,27,4
229,369,197,88,5.13,26,5
177,276,129,78,4.07,32,4
144,226,123,70,3.26,33,4
193,309,143,74,3.75,32,5
240,373,172,78,4.13,50,5
206,364,125,70,3.97,32,5
149,306,108,54,3.41,36,4
102,195,88,48,2.41,40,4
178,275,102,45,2.99,50,4
161,230,116,38,2.04,42,4
237,307,58,41,3.3,18,5
230,374,65,33,2.93,32,5
35,183,43,20,1.15,59,3
100,226,104,43,2.26,51,4
265,442,111,58,4.13,29,5
136,247,68,36,2.2,42,4
68,108,92,38,1.89,47,3
68,103,82,37,2.06,39,3
153,210,77,44,2.58,21,4
68,127,84,41,2.16,44,3
102,210,116,54,2.72,36,4
33,89,55,26,0.77,59,1
74,130,94,48,1.59,42,3
106,174,108,57,1.6,42,3
167,276,123,55,2.03,46,4
203,315,116,69,2.54,41,5
244,385,98,86,3.9,26,5
47,99,46,33,0.98,54,1
67,141,85,53,1.15,47,3
99,200,83,57,1.72,54,4
108,211,80,65,1.85,42,4
123,205,104,70,2.28,36,4
119,225,106,64,1.92,36,4
132,289,99,70,2.17,41,4
253,410,75,54,2.34,34,5
194,352,47,56,2.2,48,5
64,146,43,48,1.34,55,3
121,280,51,73,1.9,52,4
92,281,45,51,1.61,58,4
39,166,35,34,0.91,63,3
46,257,30,39,1.03,43,4
51,161,33,41,0.96,49,3
93,223,48,58,1.74,44,4
128,243,50,70,2.17,49,4
106,193,66,60,1.73,84,3
99,175,64,50,1.41,79,3
79,253,37,49,1.14,58,4
75,335,44,57,1.36,59,4
137,309,57,42,1.85,92,4
136,222,26,40,1.89,43,4
71,113,27,48,1.35,42,3
57,81,19,34,1.34,72,1
93,134,28,47,1.54,64,3
63,97,22,35,0.94,97,2
69,130,17,33,1.02,76,2
25,56,11,21,0.84,72,1
53,93,18,40,0.92,64,1
109,157,33,50,1.1,46,3
165,240,45,66,1.6,53,4
119,183,32,64,1.21,58,3
132,203,35,57,1.46,74,4
18,54,14,26,0.65,70,1
28,54,17,31,0.64,83,1
77,131,36,55,1.06,68,3
114,252,63,57,1.52,65,4
29,138,19,16,0.38,91,2
70,175,56,54,1.09,68,3
111,253,49,71,1.15,39,4
70,133,30,37,1.14,59,3
98,164,35,49,1.26,58,3
69,154,34,40,0.88,73,3
42,109,26,42,0.75,76,2
75,151,44,49,0.91,80,3
50,152,31,37,0.94,92,2
91,176,52,48,1.26,109,3
106,177,55,39,1.28,89,3
94,160,53,36,1.17,102,3
78,129,35,38,1.47,82,2
124,182,70,41,1.29,83,3
114,168,33,42,1.09,115,3
96,139,27,30,0.94,96,2
37,60,15,27,0.59,89,1
84,157,21,49,0.8,69,3
40,96,28,37,0.57,87,2
84,151,47,49,1.09,91,3
30,111,20,28,0.54,87,2
48,104,30,34,0.77,94,2
112,170,40,40,1.22,117,3
43,65,18,30,1.06,53,1
34,52,18,37,1.01,38,1
33,53,16,25,0.7,60,1
22,54,18,24,0.43,90,1
58,115,44,46,1.07,80,2
22,72,20,28,0.35,90,1
39,85,20,34,0.57,97,2
80,140,43,46,1.03,119,2
91,152,35,30,1.06,101,3
38,87,21,33,0.66,103,2
25,78,18,32,0.42,78,1
18,46,16,28,0.37,89,1
57,104,48,47,0.72,83,2
61,103,45,43,1.11,121,2
97,147,43,38,1.23,156,2
115,172,54,42,1.25,154,2
105,162,56,40,1.16,161,2
91,143,45,36,1.09,149,2
109,168,29,34,1.02,138,2
106,160,38,35,1.11,122,2
85,125,23,40,0.87,63,3
75,131,31,44,0.85,82,2
56,105,36,33,0.75,119,2
100,181,49,41,1.23,122,3
42,88,26,37,0.62,85,1
59,126,39,57,0.89,89,2
54,109,37,44,0.72,77,2
51,127,42,45,0.73,95,2
40,100,25,31,0.58,122,2
29,61,27,34,0.46,71,1
43,85,29,48,0.62,71,1
62,127,29,47,1.04,132,2
81,128,20,30,2.64,122,2
28,63,14,31,1.06,83,1
14,43,13,22,0.35,90,1
16,42,19,32,0.53,94,1
45,96,22,52,0.8,112,2
84,165,47,59,1.27,115,3
109,193,41,62,1.31,125,3
78,143,22,43,1.07,148,2
49,89,16,28,0.89,134,2
31,78,19,43,0.56,80,1
37,71,25,40,0.63,87,1
56,114,24,59,0.72,123,2
79,139,33,49,0.93,136,2
111,171,29,37,1.26,157,2
54,82,20,26,0.71,133,2
71,113,22,29,0.81,126,2
93,137,15,27,0.94,141,2
94,148,31,30,1.22,146,2
108,167,35,32,1.25,136,2
83,124,16,25,0.97,106,2
18,37,11,17,0.53,76,1
42,80,17,35,0.64,59,1
18,44,15,36,0.5,56,1
28,65,22,32,0.69,106,1
28,59,23,28,0.52,98,1
56,90,19,30,0.8,115,2
60,101,25,26,0.84,119,2
68,111,36,31,0.83,129,2
108,165,35,37,1.05,125,2
110,164,34,29,0.99,129,2
65,110,34,27,0.8,134,2
102,151,82,34,0.97,135,2
82,122,65,37,0.85,126,2
96,167,36,46,1.27,159,2
62,116,35,40,0.98,117,2
76,134,26,51,0.93,78,3
45,71,15,22,0.81,116,2
46,78,16,22,0.98,87,1
57,90,20,23,0.93,110,2
42,66,17,18,0.75,117,2
74,115,16,25,0.98,83,2
86,132,20,30,1.04,99,2
76,119,23,27,0.97,94,2
82,140,19,34,0.96,90,2
56,96,28,34,0.85,101,2
91,154,23,35,1.1,118,2
82,144,24,31,1.05,117,2
105,169,19,25,1.21,108,3
54,97,23,20,0.86,113,2
58,107,22,27,0.97,80,2
40,75,20,19,0.87,87,1
36,77,19,25,1.13,65,1
47,89,19,29,1.04,59,1
81,144,19,35,1.18,51,3
93,175,22,33,1.46,37,3
29,61,21,30,0.83,81,1
101,170,18,30,1.43,85,3
77,140,15,35,1.03,78,3
78,141,13,39,0.86,66,3
46,95,11,23,0.62,103,2
124,206,13,30,0.99,104,3
148,241,14,45,1.08,96,4
126,207,14,42,1.24,87,3
110,178,19,33,1.08,114,3
115,187,25,28,1.02,120,3
99,169,20,31,0.78,94,3
80,140,17,47,0.69,95,2
98,158,22,51,0.92,106,3
107,170,21,36,1.74,87,3
61,120,13,29,0.62,72,2
48,94,12,27,0.51,80,1
75,142,16,40,0.78,87,2
45,100,13,28,0.58,94,2
30,77,14,38,0.59,77,1
37,83,12,22,1.08,101,2
19,48,9,23,0.56,79,1
23,52,9,26,0.49,71,1
29,64,10,26,0.47,80,1
34,70,9,32,0.57,82,1
57,98,14,24,0.97,97,2
42,75,11,22,0.69,107,2
48,79,8,23,0.77,79,1
31,53,6,15,0.8,73,1
18,38,6,15,0.45,62,1
16,34,8,21,0.34,53,1
18,33,9,26,0.43,44,1
33,52,10,29,0.54,53,1
33,52,9,16,0.5,81,1
22,44,9,23,0.43,87,1
41,79,12,38,0.67,73,1
68,118,20,60,0.77,87,2
70,113,13,43,0.82,75,2
19,36,8,23,0.46,34,1
20,37,8,19,0.33,58,1
15,39,9,26,0.26,52,1
38,84,14,44,0.57,54,1
70,129,19,45,0.88,73,3
96,167,18,63,0.99,74,3
133,221,19,73,1.08,61,4
159,250,21,71,1.39,69,4
129,205,14,64,1.23,66,4
90,149,13,56,1.11,37,3
66,130,18,48,0.93,92,2
96,172,27,53,1.12,88,3
125,205,18,35,1.27,73,3
62,111,12,37,0.89,66,2
113,193,24,63,1.07,67,3
32,71,17,37,0.51,76,1
57,126,27,61,0.68,61,3
70,136,20,56,0.7,81,3
49,80,8,27,0.93,63,1
38,61,9,40,1.2,23,1
26,45,10,39,0.62,24,1
17,50,13,29,0.42,45,1
37,99,16,49,0.64,45,1
47,120,18,64,0.92,45,3
135,242,30,95,1.44,46,4
179,279,32,97,1.78,71,4
241,365,26,106,2.01,84,5
182,256,25,70,1.43,73,4
29,71,13,33,0.46,48,1
24,69,17,36,0.57,44,1
12,41,11,22,0.31,45,1
22,59,14,41,0.57,49,1
57,104,23,61,0.81,43,1
108,185,39,84,1.32,55,3
195,312,48,105,2.33,40,5
167,288,39,86,2.31,82,4
225,338,49,101,2.16,70,5
230,349,43,103,1.93,69,5
85,154,25,48,1.03,43,3
49,105,33,50,0.79,38,1
70,133,28,62,1.44,18,3
32,56,21,38,1.03,27,1
19,28,13,35,0.58,30,1
41,64,18,53,0.92,21,1
49,94,28,69,1.35,20,1
26,69,47,67,0.88,17,1
27,54,17,41,0.56,31,1
17,58,21,47,0.5,34,1
26,61,20,59,0.52,27,1
39,93,32,73,0.95,23,1
37,80,34,65,0.7,24,1
76,137,53,99,1.19,19,3
98,172,61,89,1.51,26,3
75,150,54,79,1.56,21,3
85,153,55,87,1.46,34,3
123,198,54,99,1.57,28,4
103,178,33,73,1.13,25,3
20,35,18,31,0.46,36,1
21,32,13,37,0.56,39,1
46,67,17,49,1.04,27,1
86,127,25,63,1.38,18,3
79,134,30,59,1.42,17,3
110,192,57,75,2.23,13,4
118,166,67,88,2.84,13,3
167,218,73,116,4.34,10,4
153,208,75,96,3.54,12,4
150,222,58,96,3.76,14,4
34,56,41,55,1.21,23,1
62,97,44,67,1.69,13,1
36,56,61,46,1.07,25,1
56,84,87,51,1.19,14,1
53,81,42,53,1.84,9,1
32,40,36,52,2.06,10,1
42,54,39,45,1.71,23,1
34,41,35,32,1.1,36,1
44,56,65,49,1.96,23,1
45,57,52,37,1.48,35,1
63,80,91,58,2.18,37,1
142,172,141,80,3.14,22,4
265,313,159,108,4.99,20,5
417,493,152,131,6.95,12,6
530,629,122,128,7.74,22,6
169,288,88,70,3.57,15,4
109,195,42,47,2.14,33,3
20,45,27,22,0.84,47,1
130,191,87,71,3.41,15,4
256,346,138,106,5.63,8,5
364,458,174,138,5.56,7,6
275,349,115,130,4.2,6,5
314,405,87,108,5.76,8,5
267,363,102,127,5.3,7,5
301,391,94,119,6.22,16,5
110,156,93,76,2.76,10,3
132,189,102,72,2.77,16,4
303,397,100,129,4.87,6,5
179,243,58,82,2.59,15,4
19,49,28,23,0.73,46,1
18,40,26,21,0.72,40,1
122,179,96,68,3.13,11,4
181,258,121,106,4.33,14,4
203,270,122,126,5.46,8,5
333,426,135,150,7.19,7,6
407,516,123,164,8.2,6,6
319,402,109,158,6.89,6,5
263,409,65,135,7.15,6,5
323,413,98,132,7.48,8,5
250,375,61,109,6.7,10,5
131,226,39,79,5.11,10,4
41,70,47,35,1.28,28,1
179,243,91,81,3.84,11,4
308,397,119,122,6.17,9,5
298,378,118,128,6.48,13,5
297,385,147,142,6.7,8,5
222,297,122,147,5.85,9,5
392,514,137,177,7.5,11,6
293,418,74,135,6.47,7,5
158,240,70,71,3.53,17,4
122,181,95,64,3.04,20,4
180,250,117,87,4.31,15,4
122,176,76,69,3.07,17,4
180,246,102,85,3.98,15,4
239,316,119,113,4.37,13,5
154,215,88,90,3.21,12,4
74,116,59,54,1.72,24,3
159,222,84,77,3.49,16,4
209,282,101,99,4.69,13,5
176,245,103,101,3.8,15,4
212,284,106,117,4.53,15,5
153,215,64,86,3.01,7,4
88,128,41,62,2.12,22,3
84,128,47,61,1.97,27,3
113,174,81,81,2.66,16,4
235,306,117,111,5.31,7,5
125,170,79,83,3.62,9,4
45,75,25,36,1.17,43,1
33,69,25,25,0.8,49,1
27,56,37,34,0.94,47,1
141,188,101,89,3.98,19,4
102,144,86,86,3.04,20,3
203,269,144,117,5.66,12,5
125,174,109,110,3.27,12,4
64,93,61,66,1.89,21,1
55,73,58,51,1.35,27,1
114,139,68,66,2.68,30,3
148,188,92,84,3.51,27,4
152,194,119,96,3.97,24,4
185,230,115,104,4.55,23,4
119,155,94,84,3.18,26,3
132,170,88,77,3.59,33,4
98,132,79,63,2.61,36,3
135,180,96,70,3.59,33,4
128,180,119,54,2.19,43,4
122,158,99,64,3.46,40,3
103,136,87,66,2.96,34,3
98,136,76,66,3.09,20,3
145,194,47,58,3.39,13,4
33,47,29,26,1.05,48,1
11,23,14,12,0.67,75,1
14,33,24,21,0.87,67,1
26,51,45,38,1.3,56,1
66,99,74,65,2.39,34,3
39,76,63,50,1.49,53,1
55,92,56,49,1.74,49,1
24,42,40,31,1.06,58,1
85,135,77,70,2.19,28,3
185,257,98,99,3.87,20,4
20,36,31,26,0.91,64,1
47,76,49,50,1.45,38,1
51,86,78,59,1.49,38,1
71,114,79,73,2.01,35,3
38,62,49,58,1.44,40,1
35,56,37,41,1.22,50,1
27,49,48,45,1.11,48,1
99,146,96,96,2.51,28,3
79,131,84,79,1.98,42,3
138,215,98,88,2.7,51,4
150,213,52,73,2.53,30,4
54,200,36,47,1.09,51,3
85,234,67,89,2.37,16,4
43,129,41,60,1.44,46,3
17,51,22,29,0.56,55,1
38,72,35,43,1.04,42,1
21,59,27,32,0.74,59,1
53,107,59,59,1.47,41,3
96,168,101,86,2.29,24,3
54,108,51,58,1.41,52,3
59,130,79,64,1.53,49,3
81,155,68,58,1.43,65,3
167,254,83,81,1.85,76,4
172,278,94,101,2.18,69,4
184,327,60,125,2.61,75,5
53,129,33,55,0.83,57,3
47,113,47,65,1.15,51,3
91,187,69,73,1.51,63,3
86,194,47,68,1.15,48,3
41,101,21,40,0.68,50,1
33,76,17,42,0.62,47,1
43,97,23,50,0.74,44,1
35,81,16,42,0.55,54,1
49,113,26,49,0.82,51,1
73,194,51,60,1.01,54,3
28,108,22,27,0.45,72,1
66,160,40,62,1.02,57,3
109,320,58,64,1.08,79,4
54,230,28,47,0.59,78,3
16,57,10,26,0.45,79,1
21,58,10,23,0.49,85,1
75,138,41,57,0.89,62,3
86,177,38,61,0.97,81,3
145,234,28,67,1.39,52,4
109,233,15,70,1.09,55,4
25,116,19,30,0.47,77,2
68,225,29,56,0.99,67,3
41,165,23,30,0.78,79,3
34,113,18,37,0.62,81,2
94,167,30,64,1.15,58,3
133,257,25,77,1.24,57,4
55,173,18,45,0.68,78,3
64,156,42,58,0.91,65,3
30,98,7,22,0.41,74,1
12,48,5,15,0.31,83,1
16,53,8,18,0.4,84,1
54,95,24,57,0.79,48,1
93,173,26,61,1.18,75,3
67,176,26,44,0.76,76,3
45,166,26,40,0.57,75,3
49,148,35,47,0.64,53,3
78,203,44,49,0.95,75,3
66,140,28,27,0.77,114,2
91,202,41,42,1.03,103,3
90,172,26,47,1.12,92,3
72,126,16,33,0.87,106,2
126,227,49,48,1.6,98,4
122,229,42,58,1.24,104,4
136,261,35,46,1.23,98,4
47,108,16,20,0.5,74,2
29,93,9,30,0.41,70,1
62,144,41,55,0.91,82,3
66,138,39,54,1.4,68,3
53,196,14,28,0.49,77,3
42,98,15,39,0.54,72,1
58,128,44,40,0.83,81,2
70,133,35,38,0.85,75,3
94,174,19,44,0.89,98,3
145,225,33,33,1.3,110,4
63,114,11,29,0.64,73,2
47,108,41,43,0.61,67,2
56,75,9,33,0.82,55,1
42,71,11,36,0.87,48,1
35,86,29,44,0.6,65,1
61,128,50,43,0.81,98,2
62,117,25,32,0.77,114,2
81,136,31,38,1.06,147,2
107,183,44,67,1.24,111,3
